	model	mparms	trsamples	bsize	lr	gamma	maxepochs	avgtestloss
0	Linear1	()	600	10	0.5	0.3	10	0.13067160546779633
1	Linear1	()	600	10	0.5	0.3	100	0.13067131161689757
2	Linear1	()	600	10	0.5	0.3	250	0.13067131161689757
3	Linear1	()	600	10	0.5	0.7	10	0.04572843760251999
4	Linear1	()	600	10	0.5	0.7	100	0.04402198612689972
5	Linear1	()	600	10	0.5	0.7	250	0.04402198612689972
6	Linear1	()	600	10	1.0	0.3	10	0.00920074075460434
7	Linear1	()	600	10	1.0	0.3	100	0.009200666658580303
8	Linear1	()	600	10	1.0	0.3	250	0.009200666658580303
9	Linear1	()	600	10	1.0	0.7	10	9.29824909690069e-08
10	Linear1	()	600	10	1.0	0.7	100	5.364187394718556e-08
11	Linear1	()	600	10	1.0	0.7	250	5.364187394718556e-08
12	Linear1	()	600	20	0.5	0.3	10	6.677165131918627e-09
13	Linear1	()	600	20	0.5	0.3	100	6.67715028157545e-09
14	Linear1	()	600	20	0.5	0.3	250	6.67715028157545e-09
15	Linear1	()	600	20	0.5	0.7	10	5.946308445636816e-11
16	Linear1	()	600	20	0.5	0.7	100	5.3213796979978414e-11
17	Linear1	()	600	20	0.5	0.7	250	5.3213796979978414e-11
18	Linear1	()	600	20	1.0	0.3	10	8.442070393438472e-13
19	Linear1	()	600	20	1.0	0.3	100	8.442070393438472e-13
20	Linear1	()	600	20	1.0	0.3	250	8.442070393438472e-13
21	Linear1	()	600	20	1.0	0.7	10	3.6763777785941974e-15
22	Linear1	()	600	20	1.0	0.7	100	3.7228003340640524e-15
23	Linear1	()	600	20	1.0	0.7	250	3.7228003340640524e-15
24	Linear1	()	600	50	0.5	0.3	10	6.656487698281782e-15
25	Linear1	()	600	50	0.5	0.3	100	5.608437163035634e-15
26	Linear1	()	600	50	0.5	0.3	250	5.608437163035634e-15
27	Linear1	()	600	50	0.5	0.7	10	6.6253635065162406e-15
28	Linear1	()	600	50	0.5	0.7	100	5.58654170016229e-15
29	Linear1	()	600	50	0.5	0.7	250	5.58654170016229e-15
30	Linear1	()	600	50	1.0	0.3	10	3.790475962620055e-15
31	Linear1	()	600	50	1.0	0.3	100	3.790475962620055e-15
32	Linear1	()	600	50	1.0	0.3	250	3.790475962620055e-15
33	Linear1	()	600	50	1.0	0.7	10	3.197661590809836e-15
34	Linear1	()	600	50	1.0	0.7	100	3.184856892102239e-15
35	Linear1	()	600	50	1.0	0.7	250	3.184856892102239e-15
36	Linear1	()	6000	10	0.5	0.3	10	2.9361367310853707e-15
37	Linear1	()	6000	10	0.5	0.3	100	2.9361367310853707e-15
38	Linear1	()	6000	10	0.5	0.3	250	2.9361367310853707e-15
39	Linear1	()	6000	10	0.5	0.7	10	2.963816537909802e-15
40	Linear1	()	6000	10	0.5	0.7	100	2.9369064502533317e-15
41	Linear1	()	6000	10	0.5	0.7	250	2.9369064502533317e-15
42	Linear1	()	6000	10	1.0	0.3	10	1.5496725030864165e-15
